Applicant,FacilityType,LocationDescription,Address,BlockLot,Block,Lot,Status,FoodItems,X,Y,Latitude,Longitude
"Kabob Trolley, LLC",Truck,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1133 MISSION ST,3727096,3727,96,REQUESTED,Halal Gyro and Cheesesteaks,6009260.818,2111511.319,37.77833026,-122.4115159
Tacos El Primo,Truck,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,5423A009,5423A,9,REQUESTED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea,6012447.306,2093773.934,37.72980548,-122.3992471
Singh Brothers Ice Cream,Truck,INGALLS ST: GEORGE CT to OAKDALE AVE (1350 - 1399),1309 INGALLS ST,4714002,4714,2,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6017478.204,2093879.426,37.73037424,-122.3818619
CC Acquisition LLC,Push Cart,VALENCIA ST: 16TH ST to 17TH ST (500 - 599),560 VALENCIA ST,3568009,3568,9,REQUESTED,Chai Tea,6006099.355,2106305.353,37.76385808,-122.4220826
"Santana ESG, Inc.",Truck,SHOTWELL ST: 16TH ST to 17TH ST (200 - 299),200 SHOTWELL ST,3571014,3571,14,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,6007701.412,2106595.633,37.76474535,-122.4165621
"SOHOMEI, LLC",Truck,02ND ST: FEDERAL ST to SOUTH PARK (519 - 548),544 02ND ST,3775005,3775,5,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6014572.797,2112894.093,37.78242356,-122.3932364
Ruru Juice LLC,Truck,SUTTER ST: SANSOME ST to MONTGOMERY ST (50 - 99),80 SUTTER ST,289005,289,5,REQUESTED,Smoothies: Juice: Salads: Fruit Bowls: Soup,6012142.609,2115828.791,37.79034625,-122.4018502
Singh Brothers Ice Cream,Truck,JENNINGS ST: KEY AVE to LE CONTE AVE (3400 - 3499),3444 JENNINGS ST,4995005,4995,5,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6013111.658,2089651.112,37.71852205,-122.3966614
Tacos Lol-Tun,Truck,ARMSTRONG AVE: KEITH ST to 03RD ST (1600 - 1699),1610 ARMSTRONG AVE,5419014,5419,14,EXPIRED,Tortas: burritos: tacos: ensaladas: sodas,6014416.253,2092564.576,37.72659436,-122.3923556
El Tonayense #60,Truck,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),401 TREAT AVE,3573023,3573,23,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Drinks,6008587.223,2105981.305,37.76310833,-122.4134549
"SOHOMEI, LLC",Truck,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1570 BURKE AVE,5203066,5203,66,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6016479.944,2099135.868,37.74475219,-122.3856792
"SOHOMEI, LLC",Truck,ELLIS ST: LARKIN ST to POLK ST (700 - 799),730 ELLIS ST,717006,717,6,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6007315.572,2113769.269,37.78442074,-122.4184054
"SOHOMEI, LLC",Truck,MINNESOTA ST: 23RD ST to 24TH ST (1200 - 1299),1240 MINNESOTA ST,4228015,4228,15,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6015191.235,2102753.826,37.75461495,-122.3903881
"SOHOMEI, LLC",Truck,02ND ST: JESSIE ST to MISSION ST (69 - 99),85 02ND ST,3708019,3708,19,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6012696.635,2115129.488,37.78845703,-122.3998842
Singh Brothers Ice Cream,Truck,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,4828021,4828,21,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6015486.282,2092591.619,37.72672798,-122.3886584
Singh Brothers Ice Cream,Truck,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),800 JAMESTOWN AVE,4973034,4973,34,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6015040.705,2088854.908,37.716443,-122.3899379
